START_TIME,END_TIME,CATEGORY,ACTIVITY
4/17/2023 06:02,4/17/2023  06:26,ABLUTIONS,WAKE UP AND WASHUP
4/17/2023 06:30,4/17/2023  07:30,HEALTH and FITNESS,YOGA 
4/17/2023  07:35,4/17/2023  07:56,ABLUTIONS,MORNING BATH
4/17/2023  08:04,4/17/2023  08:26,MEALS,BREAKFAST
4/17/2023 08:32,4/17/2023  08:58,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/17/2023  09:00,4/17/2023  11:00,BUSINESS,WORK AND MEETINGS
4/17/2023  11:02,4/17/2023  11:07,MEALS,COFFEE BREAK
4/17/2023 11:08,4/17/2023  11:30,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/17/2023 11:32,4/17/2023  13:05,BUSINESS,WORK AND MEETINGS
4/17/2023 13:05,4/17/2023  13:35,MEALS,LUNCH
4/17/2023 13:36,4/17/2023  13:58,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/17/2023 14:02,4/17/2023  15:33,BUSINESS,WORK AND MEETINGS
4/17/2023 15:34,4/17/2023  16:00,MEALS,TEA BREAK
4/17/2023 16:01,4/17/2023  17:40,BUSINESS,WORK AND MEETINGS
4/17/2023 17:40,4/17/2023  18:00,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/17/2023 18:02,4/17/2023  18:35,HEALTH and FITNESS,EVENING RUN
4/17/2023 18:40,4/17/2023  19:02,ABLUTIONS,EVENING BATH
4/17/2023 19:03,4/17/2023  20:00,BUSINESS,VIRTUAL MEETING
4/17/2023 20:05,4/17/2023  20:35,MEALS,DINNER
4/17/2023 20:45,4/17/2023  22:40,ONLINE INFOTAINMENT,WATCH IPL MATCH
4/18/2023 06:05,4/18/2023 06:25,ABLUTIONS,WAKE UP AND WASHUP
4/18/2023 06:30,4/18/2023 07:29,HEALTH and FITNESS,YOGA 
4/18/2023 07:35,4/18/2023 07:55,ABLUTIONS,MORNING BATH
4/18/2023 08:03,4/18/2023 08:24,MEALS,BREAKFAST
4/18/2023 08:30,4/18/2023 08:55,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/18/2023 09:00,4/18/2023 11:02,BUSINESS,WORK AND MEETINGS
4/18/2023 11:03,4/18/2023 11:08,MEALS,COFFEE BREAK
4/18/2023 11:10,4/18/2023 11:30,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/18/2023 11:34,4/18/2023 13:05,BUSINESS,WORK AND MEETINGS
4/18/2023 13:05,4/18/2023 13:28,MEALS,LUNCH
4/18/2023 13:30,4/18/2023 14:05,BUSINESS,MEETING
4/18/2023 14:05,4/18/2023 15:31,BUSINESS,WORK AND MEETINGS
4/18/2023 15:32,4/18/2023 16:00,MEALS,TEA BREAK
4/18/2023 16:00,4/18/2023 17:58,BUSINESS,WORK AND MEETINGS
4/18/2023 18:00,4/18/2023 18:22,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/18/2023 18:30,4/18/2023 19:05,HEALTH and FITNESS,GYM
4/18/2023 19:10,4/18/2023 19:29,ABLUTIONS,EVENING BATH
4/18/2023 19:35,4/18/2023 20:05,MEALS,DINNER
4/18/2023 20:05,4/18/2023 22:15,RELAXATION,RELAXED FAMILY TIME
4/18/2023 22:15,4/18/2023 22:35,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/19/2023 06:01,4/19/2023 06:20,ABLUTIONS,WAKE UP AND WASHUP
4/19/2023 06:27,4/19/2023 07:30,HEALTH and FITNESS,YOGA 
4/19/2023 07:35,4/19/2023 07:55,ABLUTIONS,MORNING BATH
4/19/2023 08:05,4/19/2023 08:24,MEALS,BREAKFAST
4/19/2023 08:30,4/19/2023 08:55,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/19/2023 09:00,4/19/2023 11:02,BUSINESS,WORK AND MEETINGS
4/19/2023 11:05,4/19/2023 11:10,MEALS,COFFEE BREAK
4/19/2023 11:10,4/19/2023 11:31,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/19/2023 11:33,4/19/2023 13:05,BUSINESS,WORK AND MEETINGS
4/19/2023 13:05,4/19/2023 13:35,MEALS,LUNCH
4/19/2023 13:35,4/19/2023 14:00,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/19/2023 14:05,4/19/2023 15:31,BUSINESS,WORK AND MEETINGS
4/19/2023 15:34,4/19/2023 16:00,MEALS,TEA BREAK
4/19/2023 16:01,4/19/2023 17:35,BUSINESS,WORK AND MEETINGS
4/19/2023 17:40,4/19/2023 18:05,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/19/2023 18:10,4/19/2023 18:40,HEALTH and FITNESS,GYM
4/19/2023 18:45,4/19/2023 19:06,ABLUTIONS,EVENING BATH
4/19/2023 19:15,4/19/2023 19:44,MEALS,DINNER
4/19/2023 19:45,4/19/2023 22:00,ONLINE INFOTAINMENT,WATCH IPL MATCH
4/19/2023 22:00,4/19/2023 22:34,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/20/2023 06:01,4/20/2023  06:22,ABLUTIONS,WAKE UP AND WASHUP
4/20/2023 06:30,4/20/2023  07:30,HEALTH and FITNESS,YOGA 
4/20/2023 07:35,4/20/2023  07:54,ABLUTIONS,MORNING BATH
4/20/2023  08:04,4/20/2023  08:29,MEALS,BREAKFAST
