START_TIME,END_TIME,LOCATION
4/17/2023 06:02,4/17/2023  06:26,HOME
4/17/2023 06:30,4/17/2023  07:30,YOGA CENTER
4/17/2023  07:35,4/17/2023  07:56,HOME
4/17/2023  08:04,4/17/2023  08:26,HOME
4/17/2023 08:32,4/17/2023  08:58,ON ROAD BY CHAUFFERED CAR
4/17/2023  09:00,4/17/2023  11:00,OFFICE1
4/17/2023  11:02,4/17/2023  11:07,OFFICE1 CAFFETERIA
4/17/2023 11:08,4/17/2023  11:30,ON ROAD BY CHAUFFERED CAR
4/17/2023 11:32,4/17/2023  13:05,OFFICE2
4/17/2023 13:05,4/17/2023  13:35,OFFICE2 CAFFETERIA
4/17/2023 13:36,4/17/2023  13:58,ON ROAD BY CHAUFFERED CAR
4/17/2023 14:02,4/17/2023  15:33,OFFICE1
4/17/2023 15:34,4/17/2023  16:00,OFFICE1 CAFFETERIA
4/17/2023 16:01,4/17/2023  17:40,OFFICE1
4/17/2023 17:40,4/17/2023  18:00,ON ROAD BY CHAUFFERED CAR
4/17/2023 18:02,4/17/2023  18:35,ON ROAD
4/17/2023 18:40,4/17/2023  19:02,HOME
4/17/2023 19:03,4/17/2023  20:00,HOME
4/17/2023 20:05,4/17/2023  20:35,HOME
4/17/2023 20:45,4/17/2023  22:40,HOME
4/18/2023 06:05,4/18/2023 06:25,HOME
4/18/2023 06:30,4/18/2023 07:29,YOGA CENTER
4/18/2023 07:35,4/18/2023 07:55,HOME
4/18/2023 08:03,4/18/2023 08:24,HOME
4/18/2023 08:30,4/18/2023 08:55,ON ROAD BY CHAUFFERED CAR
4/18/2023 09:00,4/18/2023 11:02,OFFICE2
4/18/2023 11:03,4/18/2023 11:08,OFFICE2 CAFFETERIA
4/18/2023 11:10,4/18/2023 11:30,ON ROAD BY CHAUFFERED CAR
4/18/2023 11:34,4/18/2023 13:05,OFFICE1
4/18/2023 13:05,4/18/2023 13:28,OFFICE1 CAFFETERIA
4/18/2023 13:30,4/18/2023 14:05,OFFICE1
4/18/2023 14:05,4/18/2023 15:31,OFFICE1
4/18/2023 15:32,4/18/2023 16:00,OFFICE1 CAFFETERIA
4/18/2023 16:00,4/18/2023 17:58,OFFICE1
4/18/2023 18:00,4/18/2023 18:22,ON ROAD BY CHAUFFERED CAR
4/18/2023 18:30,4/18/2023 19:05,HEALTH CENTER
4/18/2023 19:10,4/18/2023 19:29,HOME
4/18/2023 19:35,4/18/2023 20:05,HOME
4/18/2023 20:05,4/18/2023 22:15,HOME
4/18/2023 22:15,4/18/2023 22:35,HOME
4/19/2023 06:01,4/19/2023 06:20,HOME
4/19/2023 06:27,4/19/2023 07:30,YOGA CENTER
4/19/2023 07:35,4/19/2023 07:55,HOME
4/19/2023 08:05,4/19/2023 08:24,HOME
4/19/2023 08:30,4/19/2023 08:55,ON ROAD BY CHAUFFERED CAR
4/19/2023 09:00,4/19/2023 11:02,OFFICE1
4/19/2023 11:05,4/19/2023 11:10,OFFICE1 CAFFETERIA
4/19/2023 11:10,4/19/2023 11:31,ON ROAD BY CHAUFFERED CAR
4/19/2023 11:33,4/19/2023 13:05,OFFICE2
4/19/2023 13:05,4/19/2023 13:35,OFFICE2 CAFFETERIA
4/19/2023 13:35,4/19/2023 14:00,ON ROAD BY CHAUFFERED CAR
4/19/2023 14:05,4/19/2023 15:31,OFFICE1
4/19/2023 15:34,4/19/2023 16:00,OFFICE1 CAFFETERIA
4/19/2023 16:01,4/19/2023 17:35,OFFICE1
4/19/2023 17:40,4/19/2023 18:05,ON ROAD BY CHAUFFERED CAR
4/19/2023 18:10,4/19/2023 18:40,HEALTH CENTER
4/19/2023 18:45,4/19/2023 19:06,HOME
4/19/2023 19:15,4/19/2023 19:44,HOME
4/19/2023 19:45,4/19/2023 22:00,HOME
4/19/2023 22:00,4/19/2023 22:34,HOME
4/20/2023 06:01,4/20/2023  06:22,HOME
4/20/2023 06:30,4/20/2023  07:30,YOGA CENTER
4/20/2023 07:35,4/20/2023  07:54,HOME
4/20/2023  08:04,4/20/2023  08:29,HOME
4/20/2023  08:30,4/20/2023  08:58,ON ROAD BY CHAUFFERED CAR
